,Row_ID,Host_Name,Planet_Name,Number_of_Planets_in_System,Orbital_Period_days,Semi-Major_Axis(AU),Planet_Radius_jupiter_Radii,Distance_to_Star_pc,Effective_temperature_K,Stellar_Mass_solar_Mass,st_sp,st_spstr,Semi-Major_Axis_km,Semi-Major_Axis_m,Stellar_Mass_kg,Orbital_Velocity_ms,Orbital_Velocity_proportional,Semi_Major_Axis_proportional,Planet_Radius_km,Planet_Radius_Earth_Radii
536,537,HD 219134,HD 219134 b,6,3.092926,0.03876,0.143,6.55,4699,0.81,5.3,K3 V,5798496,5798496000,1.61E+30,136133.5397,13.61335397,57.98496,10223.356,1.604670538
537,538,HD 219134,HD 219134 c,6,6.76458,0.0653,0.135,6.55,4699,0.81,5.3,K3 V,9768880,9768880000,1.61E+30,104881.8721,10.48818721,97.6888,9651.42,1.51489876
538,539,HD 219134,HD 219134 d,6,46.859,0.237,0.144,6.55,4699,0.81,5.3,K3 V,35455200,35455200000,1.61E+30,55053.23556,5.505323556,354.552,10294.848,1.615892011
539,540,HD 219134,HD 219134 f,6,22.717,0.1463,0.117,6.55,4699,0.81,5.3,K3 V,21886480,21886480000,1.61E+30,70070.44218,7.007044218,218.8648,8364.564,1.312912259
589,590,HD 3167,HD 3167 b,3,0.959641,0.01815,0.152,45.8,5261,0.86,5,K0 V,2715240,2715240000,1.71E+30,204986.5767,20.49865767,27.1524,10866.784,1.705663789
590,591,HD 3167,HD 3167 c,3,29.8454,0.1795,0.269,45.8,5261,0.86,5,K0 V,26853200,26853200000,1.71E+30,65182.57468,6.518257468,268.532,19231.348,3.018576048
723,724,HD 89345,HD 89345 b,1,11.81399,0.105,0.612,126.74,5499,1.12,4.5,G5,15708000,15708000000,2.23E+30,97258.79254,9.725879254,157.08,43753.104,6.867541045
802,803,K2-117,K2-117 b,2,1.291505,0.019,0.175,100,3842.12,0.58,6.1,M1.0 V,2842400,2842400000,1.15E+30,164532.5043,16.45325043,28.424,12511.1,1.963757652
803,804,K2-117,K2-117 c,2,5.44482,0.051,0.181,100,3842.12,0.58,6.1,M1.0 V,7629600,7629600000,1.15E+30,100425.3654,10.04253654,76.296,12940.052,2.031086486
828,829,K2-138,K2-138 b,5,2.35322,0.0338,0.14,183,5378,0.93,5.1,K1 V,5056480,5056480000,1.85E+30,156205.9728,15.62059728,50.5648,10008.88,1.571006121
829,830,K2-138,K2-138 c,5,3.55987,0.04454,0.225,183,5378,0.93,5.1,K1 V,6663184,6663184000,1.85E+30,136075.7948,13.60757948,66.63184,16085.7,2.524831267
830,831,K2-138,K2-138 d,5,5.40478,0.05883,0.237,183,5378,0.93,5.1,K1 V,8800968,8800968000,1.85E+30,118401.3248,11.84013248,88.00968,16943.604,2.659488934
831,832,K2-138,K2-138 e,5,8.26144,0.07807,0.294,183,5378,0.93,5.1,K1 V,11679272,11679272000,1.85E+30,102781.2503,10.27812503,116.79272,21018.648,3.299112855
832,833,K2-138,K2-138 f,5,12.75759,0.1043,0.251,183,5378,0.93,5.1,K1 V,15603280,15603280000,1.85E+30,88922.94384,8.892294384,156.0328,17944.492,2.816589546
833,834,K2-139,K2-139 b,1,28.38236,0.179,0.808,152,5340,0.92,5,K0 V,26778400,26778400000,1.83E+30,67512.14551,6.751214551,267.784,57765.536,9.066949615
835,836,K2-140,K2-140 b,1,6.56918,0.0687,1.093,341.6,5705,1,4.5,G5,10277520,10277520000,1.99E+30,113615.1231,11.36151231,102.7752,78140.756,12.26506922
838,839,K2-146,K2-146 b,1,2.644646,0.0266,0.196,86,3385,0.36,6.3,M3.0 V,3979360,3979360000,7.16E+29,109553.1688,10.95531688,39.7936,14012.432,2.19940857
843,844,K2-149,K2-149 b,1,11.332,0.083,0.146,118,3745,0.59,6.1,M1.0 V,12416800,12416800000,1.17E+30,79396.52072,7.939652072,124.168,10437.832,1.638334955
845,846,K2-150,K2-150 b,1,10.59357,0.0727,0.178,110,3499,0.46,6.2,M2.5 V,10875920,10875920000,9.15E+29,74907.65855,7.490765855,108.7592,12725.576,1.997422069
846,847,K2-151,K2-151 b,1,3.835592,0.0365,0.12,62.7,3585,0.44,6.1,M1.5 V,5460400,5460400000,8.75E+29,103393.7811,10.33937811,54.604,8579.04,1.346576676
847,848,K2-152,K2-152 b,1,32.6479,0.1716,0.204,108.7,4044,0.63,6,M0.0 V,25671360,25671360000,1.25E+30,57059.26128,5.705926128,256.7136,14584.368,2.289180348
848,849,K2-153,K2-153 b,1,7.51574,0.0614,0.178,143.6,3845,0.55,6.3,M3.0 V,9185440,9185440000,1.09E+30,89127.48893,8.912748893,91.8544,12725.576,1.997422069
849,850,K2-154,K2-154 b,2,3.67626,0.0405,0.178,129.8,4097,0.65,6,M0.0 V,6058800,6058800000,1.29E+30,119300.8886,11.93008886,60.588,12725.576,1.997422069
850,851,K2-154,K2-154 c,2,7.95486,0.0677,0.185,129.8,4097,0.65,6,M0.0 V,10127920,10127920000,1.29E+30,92273.47062,9.227347062,101.2792,13226.02,2.075972375
886,887,K2-18,K2-18 b,2,32.93963,0.143,0.212,34,3457,0.36,6.25,M2.5 V,21392800,21392800000,7.16E+29,47249.55726,4.724955726,213.928,15156.304,2.378952127
963,964,K2-233,K2-233 b,3,2.46746,0.03317,0.125,69,4950,0.8,5.3,K3,4962232,4962232000,1.59E+30,146246.9338,14.62469338,49.62232,8936.5,1.402684037
964,965,K2-233,K2-233 c,3,7.06142,0.06687,0.119,69,4950,0.8,5.3,K3,10003752,10003752000,1.59E+30,103001.5698,10.30015698,100.03752,8507.548,1.335355203
