Row_ID,Host_Name,Planet_Name,Number_of_Planets_in_System,Orbital_Period_days,Semi_Major_Axis_AU,Planet_Radius_jupiter_Radii,Distance_to_Star_pc,Effective_temperature_K,Stellar_Mass_solar_Mass,st_sp,st_spstr
1,11 Com,11 Com b,1,326.03,1.29,,110.62,4742,2.7,5,K0 III
2,11 UMi,11 UMi b,1,516.21997,1.53,,119.47,4213,2.78,5.4,K4 III
3,14 And,14 And b,1,185.84,0.83,,76.39,4813,2.2,4.8,G8 III
4,14 Her,14 Her b,1,1773.40002,2.93,,18.15,5338,0.9,5,K0 V
5,16 Cyg B,16 Cyg B b,1,798.5,1.66,,21.41,5750,1.08,4.25,G2.5 V
6,18 Del,18 Del b,1,993.3,2.6,,73.1,4979,2.3,4.6,G6 III
7,1RXS J160929.1-210524,1RXS J160929.1-210524 b,1,,330,,145,4060,0.85,5.7,K7 V
8,24 Boo,24 Boo b,1,30.3506,0.19,,97.75,4893,0.99,4.3,G3 IV
9,24 Sex,24 Sex b,2,452.8,1.333,,74.79,5098,1.54,5,K0 IV
10,24 Sex,24 Sex c,2,883,2.08,,74.79,5098,1.54,5,K0 IV
11,2MASS J01225093-2439505,2MASS J01225093-2439505 b,1,,52,,36,3530,0.4,6.35,M3.5 V
12,2MASS J02192210-3925225,2MASS J02192210-3925225 b,1,,156,1.44,39.4,3064,0.11,6.6,M6
13,2MASS J04414489+2301513,2MASS J04414489+2301513 b,1,,15,,140,,0.02,6.85,M8.5
14,2MASS J12073346-3932539,2MASS J12073346-3932539 b,1,,46,,52.4,,0.02,6.8,M8
15,2MASS J19383260+4603591,2MASS J19383260+4603591 b,1,416,0.92,,,,0.48,,
16,2MASS J21402931+1625183 A,2MASS J21402931+1625183 A b,1,7336.5,,0.92,25,2300,0.08,6.85,M8.5
17,2MASS J22362452+4751425,2MASS J22362452+4751425 b,1,,230,,74,4045,0.6,5.7,K7 V
18,30 Ari B,30 Ari B b,1,335.10001,0.99,,39.43,6331,1.93,3.6,F6 V
19,4 UMa,4 UMa b,1,269.3,0.87,,77.4,4415,1.23,5.1,K1 III
20,42 Dra,42 Dra b,1,479.1,1.19,,97.28,4200,0.98,5.15,K1.5 III
21,47 UMa,47 UMa b,3,1078,2.1,,14.08,5892,1.03,4,G0 V
22,47 UMa,47 UMa c,3,2391,3.6,,14.08,5892,1.03,4,G0 V
23,47 UMa,47 UMa d,3,14002,11.6,,14.08,5892,1.03,4,G0 V
24,51 Eri,51 Eri b,1,,13.2,,29.4,,1.75,3,F0 IV
25,51 Peg,51 Peg b,1,4.230785,0.0527,,15.36,5793,1.12,4.25,G2.5 IV
26,55 Cnc,55 Cnc b,5,14.65152,0.115227,,12.53,5196,0.91,4.8,G8 V
27,55 Cnc,55 Cnc c,5,44.4175,0.241376,,12.53,5196,0.91,4.8,G8 V
28,55 Cnc,55 Cnc d,5,4825,5.503,,12.53,5196,0.91,4.8,G8 V
29,55 Cnc,55 Cnc e,5,0.736539,0.01544,0.17,12.53,5196,0.91,4.8,G8 V
30,55 Cnc,55 Cnc f,5,262,0.788,,12.53,5196,0.91,4.8,G8 V
31,6 Lyn,6 Lyn b,1,874.774,2.18,,56.95,4978,1.7,5,K0 III-IV
32,61 Vir,61 Vir b,3,4.215,0.050201,,8.52,5577,0.94,4.5,G5 V
33,61 Vir,61 Vir c,3,38.021,0.2175,,8.52,5577,0.94,4.5,G5 V
34,61 Vir,61 Vir d,3,123.01,0.476,,8.52,5577,0.94,4.5,G5 V
35,7 CMa,7 CMa b,1,796,1.93,,19.84,4792,1.52,5.1,K1 III
36,70 Vir,70 Vir b,1,116.6884,0.48,,18.11,5531,1.14,4.4,G4 V
37,75 Cet,75 Cet b,1,691.9,2.1,,81.5,4846,2.49,4.3,G3 III
38,8 UMi,8 UMi b,1,93.4,0.49,,159.1,4847,1.44,5,K0
39,81 Cet,81 Cet b,1,952.7,2.5,,97.18,4785,2.4,4.5,G5 III
40,91 Aqr,91 Aqr b,1,181.4,0.7,,45.52,4665,1.4,5,K0 III
41,AB Pic,AB Pic b,1,,260,,45.52,,,5.2,K2 V
42,BD+03 2562,BD+03 2562 b,1,481.9,1.3,,2618,4095,1.14,,
43,BD+14 4559,BD+14 4559 b,1,268.94,0.78,,50.03,4864,0.49,5.2,K2 V
44,BD+15 2375,BD+15 2375 b,1,153.22,0.576,,774,4649,1.08,,
45,BD+15 2940,BD+15 2940 b,1,137.48,0.539,,175.44,4796,1.1,5,K0
46,BD+20 2457,BD+20 2457 b,2,379.63,1.05,,200,4259,10.83,5.2,K2 II
47,BD+20 2457,BD+20 2457 c,2,621.99,2.01,,200,4259,10.83,5.2,K2 II
48,BD+20 274,BD+20 274 b,1,578.2,1.3,,1083.64,4296,0.8,5.5,K5 III
49,BD+20 594,BD+20 594 b,1,41.6855,,0.23,,5766,1.67,4,G
50,BD+48 738,BD+48 738 b,1,392.6,1,,,4414,0.74,5,K0 III
51,BD+48 740,BD+48 740 b,1,733,1.7,,751.87,4534,1.09,,
52,BD+49 828,BD+49 828 b,1,2590,4.2,,407.63,4943,1.52,5,K0
53,BD-06 1339,BD-06 1339 b,2,3.8728,0.0428,,20.1,4324,0.7,5.85,K7/M0 V
54,BD-06 1339,BD-06 1339 c,2,125.94,0.435,,20.1,4324,0.7,5.85,K7/M0 V
55,BD-08 2823,BD-08 2823 b,2,5.6,0.06,,42.09,4816,0.5,5.3,K3 V
56,BD-08 2823,BD-08 2823 c,2,237.6,0.68,,42.09,4816,0.5,5.3,K3 V
57,BD-10 3166,BD-10 3166 b,1,3.48777,0.04,,80,5393,1.47,5,K0 V
58,BD-11 4672,BD-11 4672 b,1,1667,2.28,,27.3,4475,0.57,5.7,K7 V
59,BD-13 2130,BD-13 2130 b,1,714.29999,1.66,,766,4545,2.12,4.5,G5 IV/V
60,BD-17 63,BD-17 63 b,1,655.59998,1.34,,37.54,4665,0.31,5.5,K5 V
61,CFBDSIR J145829+101343,CFBDSIR J145829+101343 b,1,10037.5,2.6,,23.1,580.5,0.02,,
62,CHXR 73,CHXR 73 b,1,,210,,,,0.35,6.35,M3.5
63,CT Cha,CT Cha b,1,,440,2.2,165,,,,
64,CoRoT-1,CoRoT-1 b,1,1.5089557,,1.49,,5950,0.95,4,G0 V
65,CoRoT-10,CoRoT-10 b,1,13.2406,0.1055,0.97,345,5075,0.89,5.1,K1 V
66,CoRoT-11,CoRoT-11 b,1,2.99433,0.0436,1.43,560,6440,1.27,3.6,F6 V
67,CoRoT-12,CoRoT-12 b,1,2.828042,0.04016,1.44,1150,5675,1.08,,
68,CoRoT-13,CoRoT-13 b,1,4.03519,0.051,0.885,1060,5945,1.09,4,G0 V
69,CoRoT-14,CoRoT-14 b,1,1.51214,0.027,1.09,1340,6035,1.13,3.9,F9 V
70,CoRoT-16,CoRoT-16 b,1,5.35227,0.0618,1.17,840,5650,1.1,4.5,G5 V
71,CoRoT-17,CoRoT-17 b,1,3.7681,0.0461,1.02,920,5740,1.04,4.2,G2 V
72,CoRoT-18,CoRoT-18 b,1,1.9000693,0.0295,1.31,870,5440,0.95,4.9,G9 V
73,CoRoT-19,CoRoT-19 b,1,3.89713,0.0518,1.29,770,6090,1.21,3.9,F9 V
74,CoRoT-2,CoRoT-2 b,1,1.7429935,0.02798,1.466,200,5625,0.96,,
75,CoRoT-20,CoRoT-20 b,2,9.24285,0.09,,864.31,,1.14,4.2,G2 V
76,CoRoT-20,CoRoT-20 c,2,1675,2.9,,864.31,,1.14,4.2,G2 V
77,CoRoT-22,CoRoT-22 b,1,9.75598,0.092,0.435,592,5939,1.1,4.3,G3 V
78,CoRoT-23,CoRoT-23 b,1,3.6313,0.048,1.05,600,5900,1.14,4,G0 V
79,CoRoT-24,CoRoT-24 b,2,5.1134,0.056,0.33,600,4950,0.91,5.1,K1 V
80,CoRoT-24,CoRoT-24 c,2,11.759,0.098,0.44,600,4950,0.91,5.1,K1 V
81,CoRoT-25,CoRoT-25 b,1,4.86069,0.0578,1.08,1000,6040,1.09,3.9,F9
82,CoRoT-26,CoRoT-26 b,1,4.20474,0.0526,1.26,1670,5590,1.09,4.5,G5
83,CoRoT-27,CoRoT-27 b,1,3.57532,0.0476,1.007,,5900,1.05,4.2,G2
84,CoRoT-28,CoRoT-28 b,1,5.20851,0.0603,0.955,560,5150,1.01,4.85,G8/9 IV
85,CoRoT-29,CoRoT-29 b,1,2.85057,0.0386,0.9,765,5260,0.97,5,K0 V
86,CoRoT-3,CoRoT-3 b,1,4.2568,,1.01,680,6740,1.37,3.3,F3 V
87,CoRoT-4,CoRoT-4 b,1,9.20205,0.09,1.19,,6190,1.16,,
88,CoRoT-5,CoRoT-5 b,1,4.0378962,0.04947,1.388,,6100,1,3.9,F9 V
89,CoRoT-6,CoRoT-6 b,1,8.886593,0.0855,1.166,,6090,1.05,3.9,F9 V
90,CoRoT-7,CoRoT-7 b,2,0.85359,,0.15,153.7,5275,0.82,4.9,G9 V
91,CoRoT-7,CoRoT-7 c,2,3.698,0.046,,153.7,5275,0.82,4.9,G9 V
92,CoRoT-8,CoRoT-8 b,1,6.21229,0.063,0.57,380,5080,0.88,5.1,K1 V
93,CoRoT-9,CoRoT-9 b,1,95.272656,0.4021,1.066,460,5625,0.96,4.3,G3 V
94,CoRoTID 223977153,CoRoTID 223977153 b,1,6.71837,0.071,0.57,,5970,1.08,4,G0 VI
95,DENIS-P J082303.1-491201,DENIS-P J082303.1-491201 b,1,246.36,0.36,,20.77,,0.07,7.15,L1.5
96,DH Tau,DH Tau b,1,,330,,140,,0.33,6.05,M0.5
97,DP Leo,DP Leo b,1,10220,8.19,,,,0.69,,
98,EPIC 211822797,EPIC 211822797 b,1,21.169861,0.131,0.177,,4148.21,0.66,,
99,EPIC 211945201,EPIC 211945201 b,1,19.49213,0.148,0.546,182.6,6025,1.18,4,G0
100,EPIC 220674823,EPIC 220674823 b,2,0.571292,0.0116,0.136,,5470,0.94,4.5,G5 V
101,EPIC 220674823,EPIC 220674823 c,2,13.3397,0.105,0.223,,5470,0.94,4.5,G5 V
102,FU Tau,FU Tau b,1,,800,,140,2838,0.05,6.72,M7.25
103,Fomalhaut,Fomalhaut b,1,555530,160,,7.7,,1.92,2.3,A3 V
104,GJ 1132,GJ 1132 b,2,1.628931,0.0153,,12.04,3270,0.18,6.45,M4.5 V
105,GJ 1132,GJ 1132 c,2,8.929,0.0476,,12.04,3270,0.18,6.45,M4.5 V
106,GJ 1148,GJ 1148 b,2,41.38,0.166,,11.03,3264,0.35,6.4,M4
107,GJ 1148,GJ 1148 c,2,532.58,0.912,,11.03,3264,0.35,6.4,M4
108,GJ 1214,GJ 1214 b,1,1.58040456,0.01411,0.254,12.95,3026,0.15,6.45,M4.5
109,GJ 163,GJ 163 b,3,8.63182,0.0607,,14.97,3500,0.4,6.35,M3.5 V
110,GJ 163,GJ 163 c,3,25.63058,0.1254,,14.97,3500,0.4,6.35,M3.5 V
111,GJ 163,GJ 163 d,3,603.95116,1.0304,,14.97,3500,0.4,6.35,M3.5 V
112,GJ 179,GJ 179 b,1,2288,2.41,,12.12,3370,0.36,6.35,M3.5 V
113,GJ 273,GJ 273 b,2,18.6498,0.091101,,3.8,3382,0.29,6.35,M3.5
114,GJ 273,GJ 273 c,2,4.7234,0.036467,,3.8,3382,0.29,6.35,M3.5
115,GJ 3021,GJ 3021 b,1,133.71,0.49,,17.62,5540,0.9,4.6,G6 V
116,GJ 3138,GJ 3138 b,3,1.22003,0.0197,,28.48,3717,0.68,6,M0
117,GJ 3138,GJ 3138 c,3,5.974,0.057,,28.48,3717,0.68,6,M0
118,GJ 3138,GJ 3138 d,3,257.8,0.698,,28.48,3717,0.68,6,M0
119,GJ 317,GJ 317 b,1,692,1.15,,15.1,3510,0.42,6.25,M2.5 V
120,GJ 328,GJ 328 b,1,4100,4.5,,20.03,3900,0.69,6.1,M1
121,GJ 3293,GJ 3293 b,4,30.5987,0.14339,,15.77,3466,0.42,6.25,M2.5
122,GJ 3293,GJ 3293 c,4,122.6196,0.36175,,15.77,3466,0.42,6.25,M2.5
123,GJ 3293,GJ 3293 d,4,48.1345,0.19394,,15.77,3466,0.42,6.25,M2.5
124,GJ 3293,GJ 3293 e,4,13.2543,0.08208,,15.77,3466,0.42,6.25,M2.5
125,GJ 3323,GJ 3323 b,2,5.3636,0.03282,,5.32,3159,0.16,6.4,M4
126,GJ 3323,GJ 3323 c,2,40.54,0.1264,,5.32,3159,0.16,6.4,M4
127,GJ 3341,GJ 3341 b,1,14.207,0.089,,23.16,3526,0.47,6.25,M2.5
128,GJ 3470,GJ 3470 b,1,3.3366487,0.031,0.346,25.2,3652,0.51,6.15,M1.5
129,GJ 3634,GJ 3634 b,1,2.64561,0.0287,,19.8,,0.45,6.25,M2.5
130,GJ 3942,GJ 3942 b,1,6.905,0.0608,,16.96,3867,0.63,6,M0
131,GJ 3998,GJ 3998 b,2,2.64977,0.029,,17.79,3722,0.5,6.1,M1
132,GJ 3998,GJ 3998 c,2,13.74,0.089,,17.79,3722,0.5,6.1,M1
133,GJ 433,GJ 433 b,1,7.3709,0.06,,9.04,3461,0.59,6.15,M1.5
134,GJ 436,GJ 436 b,1,2.64388312,0.0291,0.372,10.23,,0.47,6.25,M2.5 V
135,GJ 504,GJ 504 b,1,,43.5,,17.95,6234,1.22,4,G0 V
136,GJ 536,GJ 536 b,1,8.7076,0.06661,,10.03,3685,0.52,6.1,M1 V
137,GJ 581,GJ 581 b,3,5.3686,0.04061,,6.27,,0.31,6.3,M3 V
138,GJ 581,GJ 581 c,3,12.914,0.0721,,6.27,,0.31,6.3,M3 V
139,GJ 581,GJ 581 e,3,3.149,0.02815,,6.27,,0.31,6.3,M3 V
140,GJ 625,GJ 625 b,1,14.628,0.078361,,6.49,3499,0.3,6.2,M2
141,GJ 649,GJ 649 b,1,598.3,1.135,,10.32,3700,0.54,6.05,M0.5
142,GJ 667 C,GJ 667 C b,5,7.2004,0.0505,,6.8,3350,0.33,6.15,M1.5 V
143,GJ 667 C,GJ 667 C c,5,28.14,0.125,,6.8,3350,0.33,6.15,M1.5 V
144,GJ 667 C,GJ 667 C e,5,62.24,0.213,,6.8,3350,0.33,6.15,M1.5 V
145,GJ 667 C,GJ 667 C f,5,39.026,0.156,,6.8,3350,0.33,6.15,M1.5 V
146,GJ 667 C,GJ 667 C g,5,256.2,0.549,,6.8,3350,0.33,6.15,M1.5 V
147,GJ 674,GJ 674 b,1,4.6938,0.039,,4.54,3600,0.35,6.25,M2.5
148,GJ 676 A,GJ 676 A b,4,1056.80005,1.82,,16.9,3734,0.73,6,M0 V
149,GJ 676 A,GJ 676 A c,4,7337,6.6,,16.9,3734,0.73,6,M0 V
150,GJ 676 A,GJ 676 A d,4,3.6005,,,16.9,3734,0.73,6,M0 V
151,GJ 676 A,GJ 676 A e,4,35.39,,,16.9,3734,0.73,6,M0 V
152,GJ 687,GJ 687 b,1,38.14,0.17,,4.53,3340,0.45,6.3,M3 V
153,GJ 832,GJ 832 b,2,3657,3.56,,4.94,3472,0.45,6.15,M1.5
154,GJ 832,GJ 832 c,2,35.68,0.163,,4.94,3472,0.45,6.15,M1.5
155,GJ 849,GJ 849 b,1,1882,2.35,,8.77,3241,0.65,6.3,M3 V
156,GJ 86,GJ 86 b,1,15.76491,0.11,,10.91,5182,0.93,5.1,K1 V
157,GJ 876,GJ 876 b,4,61.1166,0.208317,,4.7,,0.32,6.4,M4
158,GJ 876,GJ 876 c,4,30.0881,0.12959,,4.7,,0.32,6.4,M4
159,GJ 876,GJ 876 d,4,1.93778,0.020807,,4.7,,0.32,6.4,M4
160,GJ 876,GJ 876 e,4,124.26,0.3343,,4.7,,0.32,6.4,M4
161,GJ 9827,GJ 9827 b,3,1.2089802,0.01888,0.145,30.32,4269,0.61,5.5,K5 V
162,GJ 9827,GJ 9827 c,3,3.648083,0.03942,0.113,30.32,4269,0.61,5.5,K5 V
163,GJ 9827,GJ 9827 d,3,6.201467,0.05615,0.185,30.32,4269,0.61,5.5,K5 V
164,GQ Lup,GQ Lup b,1,,100,3,139,,0.7,5.7,K7e V
165,GSC 06214-00210,GSC 06214-00210 b,1,,320,,145,4200,0.9,5.7,K7
166,GU Psc,GU Psc b,1,,2000,1.265,48,,0.33,6.3,M3
167,HAT-P-1,HAT-P-1 b,1,4.46529976,0.05561,1.319,139,5980,1.15,4,G0 V
168,HAT-P-11,HAT-P-11 b,2,4.88780244,0.05254,0.389,37.81,4780,0.81,5.4,K4
169,HAT-P-11,HAT-P-11 c,2,3407,4.13,,37.81,4780,0.81,5.4,K4
170,HAT-P-12,HAT-P-12 b,1,3.2130598,0.0384,0.959,142.5,4650,0.73,5.4,K4
171,HAT-P-13,HAT-P-13 b,2,2.91625,,1.272,214,5653,1.22,4.4,G4
172,HAT-P-13,HAT-P-13 c,2,446.27,,,214,5653,1.22,4.4,G4
173,HAT-P-14,HAT-P-14 b,1,4.62767,,1.42,205,6600,2.65,3,F
174,HAT-P-15,HAT-P-15 b,1,10.8635,,1.06,190,5568,1,4.5,G5
175,HAT-P-16,HAT-P-16 b,1,2.77596,0.0413,1.289,235,6158,1.22,3.8,F8
176,HAT-P-17,HAT-P-17 b,2,10.33852,,1.05,90,5246,0.99,5,K
177,HAT-P-17,HAT-P-17 c,2,5584,5.6,,90,5246,0.99,5,K
178,HAT-P-18,HAT-P-18 b,1,5.508023,0.0559,0.995,166,4803,0.77,5.2,K2
179,HAT-P-19,HAT-P-19 b,1,4.008778,0.0466,1.132,215,4990,0.84,5.1,K1
180,HAT-P-2,HAT-P-2 b,1,5.63347,,1.2,135.32,6412,1.93,3.8,F8
181,HAT-P-20,HAT-P-20 b,1,2.875317,0.0361,0.867,70,4595,0.76,5.3,K3
182,HAT-P-21,HAT-P-21 b,1,4.12448,,1.11,254,5588,1.24,4.3,G3
183,HAT-P-22,HAT-P-22 b,1,3.21222,,1.15,82,5302,1.13,4.5,G5
184,HAT-P-23,HAT-P-23 b,1,1.21288,,1.09,393,5905,0.58,4,G0
185,HAT-P-24,HAT-P-24 b,1,3.35524,,1.3,396,6373,1.37,3.8,F8
186,HAT-P-25,HAT-P-25 b,1,3.652836,0.0466,1.19,297,5500,1.01,4.5,G5
187,HAT-P-26,HAT-P-26 b,1,4.23452,,0.63,134,5079,1.12,5.1,K1
188,HAT-P-27,HAT-P-27 b,1,3.039577,0.04,1.02,204,5300,0.94,4.8,G8
189,HAT-P-28,HAT-P-28 b,1,3.257215,0.0434,1.212,395,5680,1.02,4.3,G3
190,HAT-P-29,HAT-P-29 b,1,5.72319,,1.17,322,6087,1.45,3.8,F8
191,HAT-P-3,HAT-P-3 b,1,2.8997,,0.94,138,5185,1.06,5,K
192,HAT-P-30,HAT-P-30 b,1,2.8106,,1.44,193,6304,1.55,,
193,HAT-P-31,HAT-P-31 b,1,5.00542,,1.09,354,6065,1.31,,
194,HAT-P-32,HAT-P-32 b,1,2.15001,,1.75,283,6207,1.09,,
195,HAT-P-33,HAT-P-33 b,1,3.47447,,1.85,387,6446,1.82,,
196,HAT-P-34,HAT-P-34 b,1,5.45265,,1.35,257,6442,4.26,,
197,HAT-P-35,HAT-P-35 b,1,3.64671,,3.55,535,6096,23.56,,
198,HAT-P-36,HAT-P-36 b,1,1.32735,,1.15,317,5560,0.78,4.5,G5 V
199,HAT-P-37,HAT-P-37 b,1,2.797436,0.0379,1.178,411,5500,0.93,,
200,HAT-P-38,HAT-P-38 b,1,4.640382,0.0523,0.825,249,5330,0.89,,
201,HAT-P-39,HAT-P-39 b,1,3.54387,0.0509,1.571,642,6430,1.4,,
202,HAT-P-4,HAT-P-4 b,1,3.056536,0.04438,1.274,314,5860,,4.1,G1 V
203,HAT-P-40,HAT-P-40 b,1,4.45724,,1.52,501,6080,1.03,,
204,HAT-P-41,HAT-P-41 b,1,2.69405,,2.05,344,6390,2.56,,
205,HAT-P-42,HAT-P-42 b,1,4.641878,0.0575,1.28,447,5743,1.18,,
206,HAT-P-43,HAT-P-43 b,1,3.332687,0.0443,1.281,542,5645,1.05,,
207,HAT-P-44,HAT-P-44 b,2,4.301219,0.0507,1.242,363,5295,0.94,,
208,HAT-P-44,HAT-P-44 c,2,872.2,1.752,,363,5295,0.94,,
209,HAT-P-45,HAT-P-45 b,1,3.128992,0.0452,1.426,305,6330,1.26,,
210,HAT-P-46,HAT-P-46 b,1,4.463129,0.0577,1.284,296,6120,1.28,,
211,HAT-P-49,HAT-P-49 b,1,2.69155,,1.59,322,6820,2.22,3,F
212,HAT-P-5,HAT-P-5 b,1,2.78849,,1.21,340,5960,1.04,4,G
213,HAT-P-50,HAT-P-50 b,1,3.1220109,0.0453,1.288,497,6280,1.27,,
214,HAT-P-51,HAT-P-51 b,1,4.2180278,0.05069,1.293,470,5449,0.98,,
215,HAT-P-52,HAT-P-52 b,1,2.7535953,0.03694,1.009,385,5131,0.89,,
216,HAT-P-53,HAT-P-53 b,1,1.9616241,0.03159,1.318,719,5956,1.09,,
217,HAT-P-54,HAT-P-54 b,1,3.799847,0.04117,0.944,,4390,0.65,,
218,HAT-P-55,HAT-P-55 b,1,3.5852467,0.04604,1.182,480,5808,1.01,,
219,HAT-P-56,HAT-P-56 b,1,2.79083,,1.51,310.5,6566,1.42,3.8,F8
220,HAT-P-57,HAT-P-57 b,1,2.4653,,1.74,303,6330,2.77,2.8,A8 V
221,HAT-P-6,HAT-P-6 b,1,3.85298,,1.48,261,6570,1.79,,
222,HAT-P-65,HAT-P-65 b,1,2.6054552,0.03951,1.89,841,5835,1.21,4.2,G2
223,HAT-P-66,HAT-P-66 b,1,2.972086,0.04363,1.59,927,6002,1.25,4,G0
224,HAT-P-67,HAT-P-67 b,1,4.8101025,0.06505,2.085,320,6406,1.64,,
225,HAT-P-7,HAT-P-7 b,1,2.20474,,1.51,320,6389,1.56,,
226,HAT-P-8,HAT-P-8 b,1,3.07634,,1.4,230,6200,1.27,,
227,HAT-P-9,HAT-P-9 b,1,3.92289,0.053,1.4,480,6350,1.28,,
228,HATS-1,HATS-1 b,1,3.446459,0.0444,1.302,303,5870,0.99,,
229,HATS-10,HATS-10 b,1,3.312846,0.04491,0.969,496,5880,1.1,,
230,HATS-11,HATS-11 b,1,3.6191634,,1.487,,6060,1,4,G0
231,HATS-12,HATS-12 b,1,3.1428347,,1.384,,6408,1.49,3,F
232,HATS-13,HATS-13 b,1,3.0440499,0.04057,1.212,476,5523,0.96,,
233,HATS-14,HATS-14 b,1,2.7667641,0.03815,1.039,513,5346,0.97,,
234,HATS-15,HATS-15 b,1,1.74748753,0.02712,1.105,689,5311,0.87,4.9,G9 V
235,HATS-16,HATS-16 b,1,2.686502,0.03744,1.3,774,5738,0.97,4.3,G3 V
236,HATS-17,HATS-17 b,1,16.254611,0.1308,0.777,339,5846,1.13,4,G V
237,HATS-18,HATS-18 b,1,0.8378434,0.01761,1.337,645,5600,1.04,4,G V
238,HATS-2,HATS-2 b,1,1.354133,0.023,1.168,360,5227,0.88,5,K
239,HATS-22,HATS-22 b,1,4.7228124,0.05025,0.953,207.9,4803,0.76,5,K V
240,HATS-23,HATS-23 b,1,2.1605156,0.03397,1.86,747,5780,1.12,4,G V
241,HATS-24,HATS-24 b,1,1.3484954,0.02547,1.487,510,6346,1.21,3,F V
242,HATS-25,HATS-25 b,1,4.2986432,0.05163,1.26,466,5715,0.99,4,G
243,HATS-26,HATS-26 b,1,3.3023881,0.04735,1.75,907,6071,1.3,3,F
244,HATS-27,HATS-27 b,1,4.637038,0.0611,1.5,840,6438,1.42,3,F
245,HATS-28,HATS-28 b,1,3.1810781,0.04131,1.194,521,5498,0.93,4,G
246,HATS-29,HATS-29 b,1,4.6058749,0.05475,1.251,351,5670,1.03,4,G
247,HATS-3,HATS-3 b,1,3.54785,,0.99,453,6351,0.44,3,F
248,HATS-30,HATS-30 b,1,3.1743516,0.04354,1.175,339,5943,1.09,4,G
249,HATS-31,HATS-31 b,1,3.37796,0.0478,1.64,872,6050,1.27,,
250,HATS-32,HATS-32 b,1,2.8126548,0.04024,1.249,839,5700,1.1,,
251,HATS-33,HATS-33 b,1,2.5495551,0.03727,1.23,255,5659,1.06,,
252,HATS-34,HATS-34 b,1,2.1061607,0.03166,1.43,532,5380,0.95,,
253,HATS-35,HATS-35 b,1,1.8209993,0.03199,1.464,557,6300,1.32,,
254,HATS-36,HATS-36 b,1,4.1752387,0.05425,1.235,962,6149,1.22,4,G0 V
255,HATS-39,HATS-39 b,1,4.5776348,0.06007,1.57,773,6572,1.38,,
256,HATS-4,HATS-4 b,1,2.516729,0.0362,1.02,420,5403,1,4,G
257,HATS-40,HATS-40 b,1,3.2642736,0.04997,1.58,1431,6460,1.56,,
258,HATS-41,HATS-41 b,1,4.193649,0.0583,1.33,800,6424,1.5,,
259,HATS-42,HATS-42 b,1,2.292102,0.03689,1.4,942,6060,1.27,,
260,HATS-43,HATS-43 b,1,4.3888497,0.04944,1.18,341,5099,0.84,,
261,HATS-44,HATS-44 b,1,2.7439004,0.03649,1.067,463,5080,0.86,,
262,HATS-45,HATS-45 b,1,4.1876244,0.05511,1.286,818,6450,1.27,,
263,HATS-46,HATS-46 b,1,4.7423729,0.05367,0.903,448,5495,0.92,,
264,HATS-5,HATS-5 b,1,4.763387,0.0542,0.912,257,5304,0.94,4,G
265,HATS-50,HATS-50 b,1,3.8297015,0.05046,1.13,717,5990,1.17,,
266,HATS-51,HATS-51 b,1,3.3488702,0.04639,1.41,478,5758,1.19,,
267,HATS-52,HATS-52 b,1,1.36665436,0.02498,1.382,631,6010,1.11,,
268,HATS-53,HATS-53 b,1,3.8537768,0.04753,1.34,613,5644,0.96,,
269,HATS-6,HATS-6 b,1,3.3252725,0.03623,0.998,148.4,3724,0.57,6.1,M1 V
270,HATS-7,HATS-7 b,1,3.185315,0.04012,0.563,257,4985,0.85,5.2,K2
271,HATS-8,HATS-8 b,1,3.583893,0.04667,0.873,829,5679,1.06,,
272,HATS-9,HATS-9 b,1,1.915311,,1.172,622,5366,1.03,,
273,HD 100546,HD 100546 b,1,,53,6.9,97,10500,2.4,1.9,B9 Vne
274,HD 100655,HD 100655 b,1,157.57001,0.68,,140.85,4891,2.28,4.9,G9 III
275,HD 100777,HD 100777 b,1,383.70001,1.03,,52.8,5533,0.83,4.8,G8 V
276,HD 10180,HD 10180 c,6,5.75969,0.06412,,39.02,5911,1.06,4.1,G1 V
277,HD 10180,HD 10180 d,6,16.357,0.12859,,39.02,5911,1.06,4.1,G1 V
278,HD 10180,HD 10180 e,6,49.748,0.2699,,39.02,5911,1.06,4.1,G1 V
279,HD 10180,HD 10180 f,6,122.744,0.4929,,39.02,5911,1.06,4.1,G1 V
280,HD 10180,HD 10180 g,6,604.67,1.427,,39.02,5911,1.06,4.1,G1 V
281,HD 10180,HD 10180 h,6,2205,3.381,,39.02,5911,1.06,4.1,G1 V
282,HD 101930,HD 101930 b,1,70.46,0.3,,30.5,5108,0.57,5.1,K1 V
283,HD 102117,HD 102117 b,1,20.8133,0.15,,42,5655,1.06,4.6,G6 V
284,HD 102195,HD 102195 b,1,4.11377,0.05,,28.98,5301,0.76,5,K0 V
285,HD 102272,HD 102272 b,1,127.58,0.51,,164.2,4790,1.45,5,K0
286,HD 102329,HD 102329 b,1,778.09998,1.81,,138.5,4745,3.21,5,K0 III
287,HD 102365,HD 102365 b,1,122.1,0.46,,9.24,5630,0.85,4.4,G3/5 V
288,HD 102956,HD 102956 b,1,6.4948,0.08,,121.07,4994,1.59,4.5,G5
289,HD 103197,HD 103197 b,1,47.84,0.25,,49.33,5250,0.8,5.1,K1 V(P)
290,HD 103720,HD 103720 b,1,4.5557,0.0498,,41.6,5017,0.79,5.3,K3 V
