Row_ID,Host_Name,Planet_Name,Number_of_Planets_in_System,Orbital_Period_days,Semi_Major_Axis_AU,Planet_Radius_jupiter_Radii,Distance_to_Star_pc,Effective_temperature_K,Stellar_Mass_solar_Mass,st_sp,st_spstr
3252,Kepler-836,Kepler-836 b,1,11.36112327,,0.244,1003,5895,1.03,,
3253,Kepler-837,Kepler-837 b,1,16.56059504,,0.228,846,5403,0.85,,
3254,Kepler-838,Kepler-838 b,1,15.74957994,,0.244,1210,5770,0.98,,
3255,Kepler-839,Kepler-839 b,1,37.8144514,,0.229,833,6058,1.22,,
3256,Kepler-84,Kepler-84 b,5,8.726,,0.199,1066,6031,,,
3257,Kepler-84,Kepler-84 c,5,12.883,,0.211,1066,6031,,,
3258,Kepler-84,Kepler-84 d,5,4.224537,0.052,0.123,1066,6031,,,
3259,Kepler-84,Kepler-84 e,5,27.434389,0.181,0.232,1066,6031,,,
3260,Kepler-84,Kepler-84 f,5,44.552169,0.25,0.196,1066,6031,,,
3261,Kepler-840,Kepler-840 b,1,2.49577962,,1.523,778,5920,1.04,,
3262,Kepler-841,Kepler-841 b,1,124.4198398,,0.467,1052,5324,0.85,,
3263,Kepler-842,Kepler-842 b,1,1.21956827,,0.143,552,4848,0.78,,
3264,Kepler-843,Kepler-843 b,1,2.05387982,,0.231,1247,5830,1.02,,
3265,Kepler-844,Kepler-844 b,1,2.61302086,,0.15,394,4128,0.59,,
3266,Kepler-845,Kepler-845 b,1,0.92785982,,0.182,471,4913,0.79,,
3267,Kepler-846,Kepler-846 b,1,19.80792185,,0.221,1233,5579,0.94,,
3268,Kepler-847,Kepler-847 b,1,2.3432319,,0.105,529,4940,0.83,,
3269,Kepler-848,Kepler-848 b,1,6.91134416,,0.152,797,5695,1.01,,
3270,Kepler-849,Kepler-849 b,1,394.6244904,,0.637,747,6059,1.23,,
3271,Kepler-85,Kepler-85 b,4,8.306,,0.176,789,5436,,,
3272,Kepler-85,Kepler-85 c,4,12.513,,0.194,789,5436,,,
3273,Kepler-85,Kepler-85 d,4,17.91323,0.13,0.107,789,5436,,,
3274,Kepler-85,Kepler-85 e,4,25.216751,0.163,0.113,789,5436,,,
3275,Kepler-850,Kepler-850 b,1,7.19303878,,0.159,1535,5932,1.06,,
3276,Kepler-851,Kepler-851 b,1,8.50699658,,0.15,869,5455,0.89,,
3277,Kepler-852,Kepler-852 b,1,44.9309804,,0.227,854,6100,1.19,,
3278,Kepler-853,Kepler-853 b,1,7.16892463,,0.151,610,6350,1.3,,
3279,Kepler-854,Kepler-854 b,1,2.14463285,,1.492,741,6179,1.17,,
3280,Kepler-855,Kepler-855 b,1,7.8866311,,0.745,1043,5835,1.03,,
3281,Kepler-856,Kepler-856 b,1,8.02768059,,0.83,1175,5535,0.96,,
3282,Kepler-857,Kepler-857 b,1,85.35129427,,0.607,1039,5773,0.99,,
