,Row_ID,Host_Name,Planet_Name,Number_of_Planets_in_System,Orbital_Period_days,Semi_Major_Axis_AU,Planet_Radius_jupiter_Radii,Distance_to_Star_pc,Effective_temperature_K,Stellar_Mass_solar_Mass,st_sp,st_spstr,Semi_Major_Axis_km,Semi_Major_Axis_m,Stellar_Mass_kg,Orbital_Velocity_ms,Orbital_Velocity_proportional,Semi_Major_Axis_proportional,Planet_Radius_km,Planet_Radius_Earth_Radii,Distance_to_Star_ly,minimum_Travel_Time_yr
98,99,EPIC 211945201,EPIC 211945201 b,1,19.49213,0.14800000000000002,0.546,182.6,6025.0,1.18,4.0,G0,22140800.000000004,22140800000.000004,2.3470199999999998e+30,84086.18669919448,8.408618669919449,221.40800000000004,39034.632000000005,6.126923873803172,595.276,58226841.53206138
107,108,GJ 1214,GJ 1214 b,1,1.58040456,0.01411,0.254,12.95,3026.0,0.15,6.45,M4.5,2110856.0,2110856000.0,2.9834999999999998e+29,97094.94820641144,9.709494820641144,21.10856,18158.968,2.850253963271072,42.21699999999999,4129450.1524654697
127,128,GJ 3470,GJ 3470 b,1,3.3366487,0.031,0.34600000000000003,25.2,3652.0,0.51,6.15,M1.5,4637600.0,4637600000.0,1.01439e+30,120786.59897798522,12.078659897798522,46.376,24736.232000000004,3.8826294145346103,82.15199999999999,8035686.783176049
160,161,GJ 9827,GJ 9827 b,3,1.2089802,0.01888,0.145,30.32,4269.0,0.61,5.5,K5 V,2824448.0,2824448000.0,1.2132899999999999e+30,169269.39200721748,16.926939200721748,28.24448,10366.34,1.6271134829697065,98.8432,9668334.256583247
161,162,GJ 9827,GJ 9827 c,3,3.648083,0.03942,0.113,30.32,4269.0,0.61,5.5,K5 V,5897231.999999999,5897231999.999999,1.2132899999999999e+30,117144.28859467646,11.714428859467645,58.97231999999999,8078.5960000000005,1.2680263694867369,98.8432,9668334.256583247
162,163,GJ 9827,GJ 9827 d,3,6.201467,0.05615,0.185,30.32,4269.0,0.61,5.5,K5 V,8400040.0,8400040000.0,1.2132899999999999e+30,98153.2194107404,9.81532194107404,84.0004,13226.02,2.0759723748234187,98.8432,9668334.256583247
166,167,HAT-P-1,HAT-P-1 b,1,4.46529976,0.05561,1.319,139.0,5980.0,1.15,4.0,G0 V,8319256.0,8319256000.0,2.2873499999999998e+30,135421.3018175405,13.542130181754048,83.19256,94297.94799999999,14.801121958876156,453.14,44323827.891328216
167,168,HAT-P-11,HAT-P-11 b,2,4.88780244,0.052539999999999996,0.389,37.81,4780.0,0.81,5.4,K4,7859983.999999999,7859983999.999999,1.61109e+30,116926.24072233331,11.69262407223333,78.59983999999999,27810.388000000003,4.365152723277351,123.2606,12056718.939360574
169,170,HAT-P-12,HAT-P-12 b,1,3.2130598,0.0384,0.9590000000000001,142.5,4650.0,0.73,5.4,K4,5744639.999999999,5744639999.999999,1.45197e+30,129840.5449637257,12.98405449637257,57.44639999999999,68560.82800000001,10.76139193219275,464.54999999999995,45439895.500102654
174,175,HAT-P-16,HAT-P-16 b,1,2.77596,0.0413,1.2890000000000001,235.0,6158.0,1.22,3.8,F8,6178480.000000001,6178480000.000001,2.4265799999999998e+30,161852.4960093319,16.18524960093319,61.78480000000001,92153.18800000001,14.464477789985875,766.0999999999999,74935968.01771314
